artifact,stage,trained_from,shard,steps,gpu_hours,key_args,train_metric,train_value,product_metric,product_value,verdict,notes
ctx5_pre.pt,pretrain,scratch,mt/2026-01,816000,17.4,"lr 1.5e-4, batch 48, 5 slots, 160 plies, --balance-elo",val_move_acc,0.4964,,,shipped,trunk for move prediction; also carries the time and elo heads
ctx5_pre_elo.pt,pretrain-cond,ctx5_pre.pt,mt/2026-01,400000,8.2,"lr 8e-5, --elo-cond --elo-drop 0.1",val_move_acc,0.5096,top_move_differs_1000_vs_2200,0.152,shipped,"rating-conditioned; the BOT descends from this, the identifier does NOT (they fork off ctx5_pre in parallel). CAUTION: its val_move_acc 0.5096 vs ctx5_pre's 0.4964 is NOT like-for-like -- train_multigame.py:85 feeds the TRUE rating at eval when --elo-cond is on, so the conditioned model was told the answer and the unconditioned one was not. Whether conditioning improves the trunk is UNMEASURED. Requested 1000 vs 2200 changes the top move 15.2% of the time, and agreement with the played move peaks when the requested rating matches the real mover (0.441 vs 0.422-0.437)"
ctx5_ft.pt,contrastive,ctx5_pre.pt,mt/2026-01,76000,2.6,"MS loss, p24 k4, lr 3e-5",val_ms_best,0.4218,,,superseded,"first identification fine-tune, short run"
ctx5_ft2.pt,contrastive,ctx5_pre.pt,mt/2026-01,775351,6.0,"MS loss, p24 k4, lr 3e-5",val_ms_best,0.3578,top10_200k_5games,0.8570,shipped,"THE identifier. note last.pt (val 0.3888) is what ships, not the best-val checkpoint (0.3578) -- see 'known traps'"
ctx5_ft3.pt,contrastive-cont,ctx5_ft2.pt,mt/2026-01,85300,2.0,"resumed to saturation, patience 8",val_ms_best,0.3829,,,abandoned,"resumed from last.pt (0.3888) and improved to 0.3829, still short of ft2's best-ever 0.3578. stopped to fund other work"
ctx5_ftc.pt,contrastive-samecolour,ctx5_pre.pt,mt/2026-01,347036,6.0,MS loss + --same-colour,val_ms_best,0.4817,top10_200k_5games,0.7932,rejected,colour-homogeneous bundles. see the colour experiment below
ctx5_ftc2.pt,contrastive-samecolour,ctx5_ftc.pt,mt/2026-01,72000,1.7,resumed --same-colour to saturation,val_ms_best,0.4851,top10_200k_5games,0.7932,rejected,saturated. WITHIN this model combined beat colour-split 0.968 vs 0.927 -- colour splitting lost even on the model built for it
verifier_best.pt,verifier-v1,ctx5_ft2.pt,mt/2026-01,398000,8.0,"cross-encoder, 4+1 games, 80% hard negatives",val_auc_hard_neg,0.8281,r10_gain_over_cosine,0.044,candidate,"never plateaued -- hit the 8h wall still rising. r@10 82.0->86.4 on a 8k gallery, 250 queries, ~1.4 sigma"
verifier2_sat.pt,verifier-dual,ctx5_ft2.pt,mt/2026-01,88800,2.3,"dual encoder, in-batch pairs, 60 plies, patience 12 -> saturated",val_auc_hard_neg,0.8607,r10_gain_over_cosine,-0.007,cut,"SATURATED (12 evals flat), not time-capped. But val AUC is measured vs 47 in-batch neighbours from a 40k pool; against the deployed top-100 of 558735 the per-game AUC is only 0.6058. Reranking LOSES to plain cosine (r@10 0.780 vs 0.787) under every fusion tried, including calibrated Bayesian LLR. play/bayes_calib.json therefore says recommended=none and the server skips the second stage. Fix is harder negatives from the real shortlist, not more steps."
gallery_2026.npz,gallery,ctx5_ft2.pt,mt/2026-01..06,,0.9,"k5, cap 64 games, min 13 games",players,558735,,,shipped,union by USERNAME across 6 months; mean 46.3 games per centroid
gallery_deploy.npz,gallery,ctx5_ft2.pt,mt/2026-01,,0.8,"k5, cap 32/colour, --colour",players,200000,,,superseded,single month; colour banks included but unused after the colour result
reranker.json,reranker,n/a,2026-06-big,,0.0,"xgboost rank:pairwise, 12 features",ndcg@10,0.697,r1_gain_over_cosine,0.018,cut,gain inside its own noise band. elo features near-useless because elo_p is ALREADY concatenated into the embedding
handfeat_pack.npz,handfeature,n/a,verifier_pack (6 shards),,0.0,"18 features + 6-ply opening key, 4-game profiles, 558735 players",pair_auc,0.7735,r10_gain_over_cosine,-0.344,cut,standalone AUC is real but 100% redundant with cosine. Best combination weight measured on held-out queries is 0.00; every positive weight is monotonically worse. See TRAINING.md 9.4
dim128_last.pt,contrastive-dimsweep,ctx5_pre.pt,mt/2026-01,,1.7,"d_embed 128, matched 1.25h budget (CONTROL)",val_ms_best,,top10_200k_5games,0.7726,reference,"matched-budget control. the shipped ctx5_ft2 scores 0.8570 at 6.0 GPU-h -- the gap is BUDGET, not architecture, which is why arms are compared to this row and never to 0.8570"
dim64_last.pt,contrastive-dimsweep,ctx5_pre.pt,mt/2026-01,,1.7,"d_embed 64, matched 1.25h budget",val_ms_best,,top10_200k_5games,0.7706,candidate,FREE. -0.002 r@10 vs 128 (inside noise) and r@100 is slightly BETTER (0.9058 vs 0.9006). Halves the gallery (143->72 MB) and the search matmul
dim32_last.pt,contrastive-dimsweep,ctx5_pre.pt,mt/2026-01,,1.7,"d_embed 32, matched 1.25h budget",val_ms_best,,top10_200k_5games,0.7288,cut,"-0.044 r@10 vs the 128 control. real loss, not noise"
dim16_last.pt,contrastive-dimsweep,ctx5_pre.pt,mt/2026-01,,1.7,"d_embed 16, matched 1.25h budget",val_ms_best,,top10_200k_5games,0.5782,cut,collapses. -0.194 r@10
ctx5_ft4,contrastive-cont,ctx5_ft3.pt,mt/2026-01,72000,1.4,"resumed to saturation, patience 8 FIRED at 72k",val_ms_best,0.3777,top10_200k_5games,0.8346,cut,"DO NOT SHIP. val_ms improved 0.3888->0.3777 while r@10 FELL 0.8570->0.8346 -- the val metric moved opposite to the product metric. Also settles the best-vs-last question: last.pt 0.8346 BEATS best.pt 0.8276, so shipping last.pt was always right and best-val selection is actively worse"
